episode,episode_seed,return,epsilon,replay_size,total_steps,episode_updates,mean_loss,elapsed_sec,difficulty,wall_obstacles,max_steps,box_speed
117,116,5681.000000,0.050000,100000,112402,1000,27.79016118,2293.79,3,1,1000,2
118,117,33.000000,0.050000,100000,113402,1000,27.63319768,2313.94,3,1,1000,2
119,118,-26697.000000,0.050000,100000,114402,1000,27.48250865,2333.72,3,1,1000,2
120,119,-970.000000,0.050000,100000,115402,1000,27.74605841,2354.60,3,1,1000,2
121,120,4146.000000,0.050000,100000,116402,1000,27.47846435,2374.91,3,1,1000,2
122,121,1509.000000,0.050000,100000,117402,1000,27.50952130,2395.85,3,1,1000,2
123,122,6791.000000,0.050000,100000,118402,1000,27.35372301,2415.80,3,1,1000,2
124,123,2620.000000,0.050000,100000,118626,224,27.76003331,2420.55,3,1,1000,2
125,124,3404.000000,0.050000,100000,119626,1000,27.36932230,2440.98,3,1,1000,2
126,125,2629.000000,0.050000,100000,119860,234,27.17076471,2445.74,3,1,1000,2
127,126,4694.000000,0.050000,100000,120860,1000,27.68126605,2466.52,3,1,1000,2
128,127,-1075.000000,0.050000,100000,121860,1000,27.16661953,2486.51,3,1,1000,2
129,128,-1539.000000,0.050000,100000,122860,1000,27.84026373,2507.44,3,1,1000,2
130,129,1627.000000,0.050000,100000,123860,1000,27.99637387,2528.00,3,1,1000,2
131,130,-9750.000000,0.050000,100000,124860,1000,28.68783944,2548.41,3,1,1000,2
132,131,-708.000000,0.050000,100000,125860,1000,28.80616490,2569.59,3,1,1000,2
133,132,-4503.000000,0.050000,100000,126860,1000,29.56458836,2590.52,3,1,1000,2
134,133,5054.000000,0.050000,100000,127860,1000,29.10831802,2611.39,3,1,1000,2
135,134,807.000000,0.050000,100000,128860,1000,29.83223474,2630.73,3,1,1000,2
136,135,-3088.000000,0.050000,100000,129860,1000,29.56958159,2650.98,3,1,1000,2
137,136,-1000.000000,0.050000,100000,130860,1000,29.94144222,2672.94,3,1,1000,2
138,137,-433.000000,0.050000,100000,131860,1000,29.63276970,2693.12,3,1,1000,2
139,138,-10667.000000,0.050000,100000,132860,1000,29.97132739,2715.03,3,1,1000,2
140,139,-6015.000000,0.050000,100000,133860,1000,29.79436654,2736.74,3,1,1000,2
141,140,-11707.000000,0.050000,100000,134860,1000,30.12896109,2757.03,3,1,1000,2
142,141,-3480.000000,0.050000,100000,135860,1000,29.95064143,2777.61,3,1,1000,2
143,142,3219.000000,0.050000,100000,136860,1000,30.11320244,2798.13,3,1,1000,2
144,143,3443.000000,0.050000,100000,137269,409,30.06558289,2806.55,3,1,1000,2
145,144,3203.000000,0.050000,100000,138269,1000,30.12769236,2827.15,3,1,1000,2
146,145,3858.000000,0.050000,100000,139269,1000,30.77214680,2847.62,3,1,1000,2
147,146,-6354.000000,0.050000,100000,140269,1000,30.76078130,2869.20,3,1,1000,2
148,147,-7512.000000,0.050000,100000,141269,1000,30.39543509,2889.97,3,1,1000,2
149,148,-1454.000000,0.050000,100000,142269,1000,29.98728184,2910.36,3,1,1000,2
150,149,-8950.000000,0.050000,100000,143269,1000,29.57048609,2930.61,3,1,1000,2
151,150,-6129.000000,0.050000,100000,144269,1000,29.51104988,2951.11,3,1,1000,2
152,151,-16258.000000,0.050000,100000,145269,1000,29.04714343,2971.87,3,1,1000,2
153,152,-12494.000000,0.050000,100000,146269,1000,28.87179049,2992.43,3,1,1000,2
154,153,-31508.000000,0.050000,100000,147269,1000,28.60903157,3012.46,3,1,1000,2
155,154,1651.000000,0.050000,100000,148269,1000,28.30529940,3033.34,3,1,1000,2
156,155,2871.000000,0.050000,100000,149269,1000,28.00530225,3053.75,3,1,1000,2
157,156,205.000000,0.050000,100000,150269,1000,28.51590045,3077.25,3,1,1000,2
158,157,-1534.000000,0.050000,100000,151269,1000,29.06443990,3097.75,3,1,1000,2
159,158,2138.000000,0.050000,100000,152095,826,28.72279031,3113.94,3,1,1000,2
160,159,-24315.000000,0.050000,100000,153095,1000,29.00137046,3132.49,3,1,1000,2
161,160,2205.000000,0.050000,100000,154095,1000,28.74616831,3151.19,3,1,1000,2
162,161,-18002.000000,0.050000,100000,155095,1000,30.02295204,3170.04,3,1,1000,2
163,162,-2564.000000,0.050000,100000,156095,1000,31.02254115,3188.87,3,1,1000,2
164,163,-17264.000000,0.050000,100000,157095,1000,31.56807240,3207.92,3,1,1000,2
165,164,2891.000000,0.050000,100000,157417,322,30.94838158,3214.05,3,1,1000,2
166,165,-5447.000000,0.050000,100000,157872,455,30.99259320,3222.79,3,1,1000,2
167,166,1710.000000,0.050000,100000,158872,1000,31.40528841,3241.51,3,1,1000,2
168,167,-3426.000000,0.050000,100000,159688,816,30.86389209,3256.52,3,1,1000,2
169,168,-22587.000000,0.050000,100000,160688,1000,30.44075464,3275.33,3,1,1000,2
170,169,-4427.000000,0.050000,100000,161688,1000,30.29476357,3294.38,3,1,1000,2
171,170,-27178.000000,0.050000,100000,162688,1000,30.37574547,3312.30,3,1,1000,2
172,171,-3133.000000,0.050000,100000,163688,1000,30.05807889,3331.13,3,1,1000,2
173,172,-5948.000000,0.050000,100000,164688,1000,29.75470174,3349.99,3,1,1000,2
174,173,-23893.000000,0.050000,100000,165688,1000,29.08438169,3368.36,3,1,1000,2
175,174,1546.000000,0.050000,100000,166373,685,29.68956801,3381.64,3,1,1000,2
176,175,-13251.000000,0.050000,100000,167373,1000,29.77356133,3400.59,3,1,1000,2
177,176,5941.000000,0.050000,100000,168373,1000,30.08031788,3419.40,3,1,1000,2
178,177,4627.000000,0.050000,100000,169373,1000,30.16759987,3438.46,3,1,1000,2
179,178,-10653.000000,0.050000,100000,170373,1000,30.29893830,3457.58,3,1,1000,2
180,179,-600.000000,0.050000,100000,171373,1000,30.68688972,3477.23,3,1,1000,2
181,180,-4546.000000,0.050000,100000,172373,1000,30.04214731,3496.16,3,1,1000,2
182,181,-7963.000000,0.050000,100000,173373,1000,30.12551693,3515.30,3,1,1000,2
